ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	short3_cov	short3_Ocov	short4_cov	short4_Ocov	long_nb	short1_nb	short2_nb	short3_nb	short4_nb
105	81	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
106	62	1	0	0.000000	1.580645	1.580645	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
107	78	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
108	275	0	0	0.000000	1.487273	1.487273	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
109	231	0	0	0.000000	1.666667	1.666667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
110	86	0	0	0.000000	2.372093	2.372093	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
111	113	0	1	0.000000	2.336283	2.336283	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
112	86	0	0	0.000000	1.639535	1.639535	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
113	414	0	0	0.000000	2.661836	2.661836	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
114	220	0	2	0.000000	1.300000	1.300000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
115	249	0	0	0.000000	1.662651	1.662651	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
116	306	0	0	0.000000	2.133987	2.133987	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
117	190	0	0	0.000000	1.263158	1.263158	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
118	225	0	0	0.000000	1.506667	1.506667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
119	247	0	0	0.000000	2.704453	2.704453	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
120	304	0	0	0.000000	2.401316	2.401316	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
121	297	0	0	0.000000	2.313131	2.313131	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
122	103	0	0	0.000000	1.650485	1.650485	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
123	271	0	0	0.000000	1.583026	1.583026	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
124	44	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
125	30	0	2	0.000000	1.766667	1.766667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
126	86	0	0	0.000000	1.744186	1.744186	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
127	92	1	0	0.000000	2.445652	2.445652	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
128	229	0	0	0.000000	1.855895	1.855895	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
129	161	1	1	0.000000	2.024845	2.024845	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
130	88	0	0	0.000000	1.193182	1.193182	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
131	722	0	1	0.000000	2.238227	2.238227	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
132	167	1	0	0.000000	1.868263	1.868263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
133	337	0	0	0.000000	1.786350	1.786350	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
134	122	0	0	0.000000	2.114754	2.114754	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
135	109	1	0	0.000000	3.174312	3.174312	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
